ALM001,What is the alumni data privacy policy?,Alumni Data Privacy Policy,Easy,alumni
ALM002,Where can I find the alumni privacy policy?,Alumni Data Privacy Policy,Easy,alumni
ALM003,What information is protected under alumni data policy?,Alumni Data Privacy Policy,Easy,alumni
ALM004,Why is alumni data privacy policy important?,Alumni Data Privacy Policy,Easy,alumni
ALM005,How does DA-IICT handle alumni data?,Alumni Data Privacy Policy,Medium,alumni
ALM006,Is alumni data shared with third parties?,Alumni Data Privacy Policy,Medium,alumni
ALM007,Who manages alumni data privacy?,Alumni Data Privacy Policy,Medium,alumni
ALM008,Can alumni data be accessed publicly?,Alumni Data Privacy Policy,Easy,alumni
ALM009,What rights do alumni have over their data?,Alumni Data Privacy Policy,Medium,alumni
ALM010,Is consent required for alumni data usage?,Alumni Data Privacy Policy,Medium,alumni

ALM011,What type of updates are included in alumni news?,Alumni News & Updates,Easy,alumni
ALM012,Where can I read alumni news?,Alumni News & Updates,Easy,alumni
ALM013,How frequently is alumni news updated?,Alumni News & Updates,Medium,alumni
ALM014,What is included in the DA-IICT newsletter?,Alumni News & Updates,Easy,alumni
ALM015,Are alumni achievements published in news?,Alumni News & Updates,Easy,alumni
ALM016,Can I access old alumni news articles?,Alumni News & Updates,Medium,alumni
ALM017,How are alumni stories selected for news?,Alumni News & Updates,Medium,alumni
ALM018,Does alumni news include events?,Alumni News & Updates,Easy,alumni
ALM019,Who publishes alumni updates?,Alumni News & Updates,Medium,alumni
ALM020,Are alumni interviews included in newsletters?,Alumni News & Updates,Medium,alumni

ALM021,What are alumni achievements at DA-IICT?,Alumni Achievements,Easy,alumni
ALM022,Where can I find alumni success stories?,Alumni Achievements,Easy,alumni
ALM023,What types of achievements are highlighted?,Alumni Achievements,Easy,alumni
ALM024,Are distinguished alumni listed?,Alumni Achievements,Easy,alumni
ALM025,How are alumni achievements documented?,Alumni Achievements,Medium,alumni
ALM026,Can alumni achievements be updated?,Alumni Achievements,Medium,alumni
ALM027,Who verifies alumni achievements?,Alumni Achievements,Medium,alumni
ALM028,Are startup founders included in achievements?,Alumni Achievements,Easy,alumni
ALM029,Do alumni achievements include awards?,Alumni Achievements,Easy,alumni
ALM030,How are success stories collected?,Alumni Achievements,Medium,alumni

ALM031,What is alumni contribution and participation?,Alumni Contributions,Easy,alumni
ALM032,Where can alumni submit contributions?,Alumni Contributions,Easy,alumni
ALM033,How do alumni participate in institute activities?,Alumni Contributions,Easy,alumni
ALM034,What kind of contributions do alumni make?,Alumni Contributions,Easy,alumni
ALM035,Is there a form for alumni submissions?,Alumni Contributions,Easy,alumni
ALM036,How is alumni feedback collected?,Alumni Contributions,Medium,alumni
ALM037,Can alumni donate or contribute financially?,Alumni Contributions,Medium,alumni
ALM038,Are alumni invited to events?,Alumni Contributions,Easy,alumni
ALM039,How are alumni contributions recognized?,Alumni Contributions,Medium,alumni
ALM040,Who manages alumni engagement?,Alumni Contributions,Medium,alumni

ALM041,What is the alumni newsletter used for?,Alumni Newsletter,Easy,alumni
ALM042,Where can I access the alumni newsletter?,Alumni Newsletter,Easy,alumni
ALM043,How often is the alumni newsletter released?,Alumni Newsletter,Medium,alumni
ALM044,What content is included in newsletters?,Alumni Newsletter,Easy,alumni
ALM045,Does newsletter include achievements?,Alumni Newsletter,Easy,alumni
ALM046,Are alumni events covered in newsletters?,Alumni Newsletter,Easy,alumni
ALM047,Who writes the alumni newsletter?,Alumni Newsletter,Medium,alumni
ALM048,Can alumni contribute to newsletters?,Alumni Newsletter,Medium,alumni
ALM049,Are newsletters archived online?,Alumni Newsletter,Medium,alumni
ALM050,How is alumni engagement measured via newsletter?,Alumni Newsletter,Medium,alumni

ALM051,What are alumni success stories?,Alumni Success Stories,Easy,alumni
ALM052,Where are alumni success stories published?,Alumni Success Stories,Easy,alumni
ALM053,How are success stories selected?,Alumni Success Stories,Medium,alumni
