FAC001,Who are the faculty members at DA-IICT?,Faculty Directory,Easy,faculty
FAC002,Where can I find the official faculty list?,Faculty Directory,Easy,faculty
FAC003,How do I access faculty profiles?,Faculty Directory,Easy,faculty
FAC004,What information is available in faculty profiles?,Faculty Directory,Easy,faculty
FAC005,Where is the DA-IICT faculty directory hosted?,Faculty Directory,Easy,faculty
FAC006,How can I search for a specific faculty member?,Faculty Directory,Easy,faculty
FAC007,Are faculty contact details publicly available?,Faculty Directory,Easy,faculty
FAC008,Where can I find faculty email addresses?,Faculty Directory,Easy,faculty
FAC009,Does DA-IICT provide department-wise faculty listing?,Faculty Directory,Easy,faculty
FAC010,How is faculty information structured on the website?,Faculty Directory,Easy,faculty
FAC011,Can I view faculty designations online?,Faculty Directory,Easy,faculty
FAC012,Where can I find faculty office locations?,Faculty Directory,Easy,faculty
FAC013,Is the faculty directory updated regularly?,Faculty Directory,Medium,faculty
FAC014,Can I filter faculty by department?,Faculty Directory,Medium,faculty
FAC015,Does the faculty page include research interests?,Faculty Directory,Medium,faculty
FAC016,How detailed are faculty profiles at DA-IICT?,Faculty Directory,Medium,faculty
FAC017,Are retired faculty members listed?,Faculty Directory,Medium,faculty
FAC018,Can students contact faculty directly?,Faculty Directory,Easy,faculty
FAC019,Is faculty profile information publicly accessible?,Faculty Directory,Easy,faculty
FAC020,Where is the main faculty database maintained?,Faculty Directory,Medium,faculty

FAC021,Who is the Dean of Faculty?,Dean Faculty,Easy,faculty
FAC022,What is the role of Dean Faculty?,Dean Faculty,Easy,faculty
FAC023,Where can I find Dean Faculty information?,Dean Faculty,Easy,faculty
FAC024,Who reports to the Dean Faculty?,Dean Faculty,Medium,faculty
FAC025,What responsibilities does the Dean Faculty handle?,Dean Faculty,Medium,faculty
FAC026,Is Dean Faculty information publicly available?,Dean Faculty,Easy,faculty
FAC027,How is the Dean Faculty appointed?,Dean Faculty,Medium,faculty
FAC028,What decisions does the Dean Faculty oversee?,Dean Faculty,Medium,faculty
FAC029,Where is the Dean Faculty office located?,Dean Faculty,Easy,faculty
FAC030,How to contact the Dean Faculty?,Dean Faculty,Easy,faculty

FAC031,What are adjunct faculty members?,Adjunct Faculty,Easy,faculty
FAC032,Where can I find adjunct faculty list?,Adjunct Faculty,Easy,faculty
FAC033,Does DA-IICT have international adjunct faculty?,International Adjunct Faculty,Easy,faculty
FAC034,What is the role of adjunct faculty?,Adjunct Faculty,Medium,faculty
